CustomerID,Recency,Frequency,Monetary,Segment
12346.0,325,2,0.0,1
12347.0,1,7,4310.000000000001,3
12348.0,74,4,1797.24,3
12349.0,18,1,1757.5500000000002,3
12350.0,309,1,334.40000000000003,1
12352.0,35,11,1545.4100000000005,3
12353.0,203,1,89.0,1
12354.0,231,1,1079.3999999999999,1
12355.0,213,1,459.4,1
12356.0,22,3,2811.43,3
12357.0,32,1,6207.67,3
12358.0,1,2,1168.06,3
12359.0,7,6,6245.529999999999,3
12360.0,51,3,2662.06,3
12361.0,286,1,189.89999999999998,1
12362.0,2,13,5154.58,3
12363.0,109,2,552.0,3
12364.0,7,4,1313.1000000000001,3
12365.0,290,3,320.68999999999994,1
12367.0,3,1,168.89999999999998,3
12370.0,50,4,3545.6899999999996,3
12371.0,44,2,1887.96,3
12372.0,71,3,1298.0400000000002,3
12373.0,310,1,364.6,1
12374.0,24,1,742.93,3
12375.0,2,3,455.42,3
12377.0,314,2,1628.12,1
12378.0,129,1,4008.62,3
12379.0,81,3,850.29,3
12380.0,21,5,2720.56,3
12381.0,4,6,1803.96,3
12383.0,184,6,1839.3100000000002,1
12384.0,28,3,566.16,3
12386.0,337,2,401.9,1
12388.0,15,6,2780.6600000000003,3
12390.0,79,1,549.84,3
12391.0,21,1,460.89,3
12393.0,71,4,1582.6000000000001,3
12394.0,63,2,1272.48,3
12395.0,15,15,2998.28,3
12397.0,35,2,2409.9000000000005,3
12398.0,45,1,1635.6599999999999,3
12399.0,118,4,1108.65,3
12401.0,302,1,84.3,1
12402.0,322,1,225.6,1
12403.0,49,2,409.7,3
12405.0,148,1,1710.3900000000003,1
12406.0,21,3,3280.7500000000005,3
12407.0,49,5,1708.1199999999997,3
12408.0,32,9,2842.57,3
12409.0,78,7,11056.93,3
12410.0,300,3,681.0799999999999,1
12412.0,74,3,1226.88,3
12413.0,66,5,694.1500000000001,3
12414.0,216,3,562.41,1
12415.0,23,26,123725.45000000001,2
12417.0,2,12,3578.8,3
12418.0,112,1,668.58,3
12420.0,63,1,600.3900000000001,3
12421.0,15,5,806.2700000000001,3
12422.0,95,3,803.5599999999998,3
12423.0,0,9,1849.1100000000001,3
12424.0,162,2,1760.9599999999996,1
12425.0,77,1,777.1999999999999,3
12426.0,194,1,582.73,1
12427.0,11,5,708.37,3
12428.0,25,12,7877.2,3
12429.0,8,4,3750.4,3
12430.0,42,1,256.4,3
12431.0,35,18,6416.389999999999,0
12432.0,42,5,5059.319999999999,3
12433.0,0,7,13375.87,3
12434.0,84,4,765.1899999999999,3
12435.0,79,2,7829.890000000001,3
12436.0,99,1,509.01000000000005,3
12437.0,1,19,4896.66,0
12438.0,13,2,2906.8500000000004,3
12441.0,366,1,173.55,1
12442.0,2,1,172.06,3
12444.0,20,5,5005.46,3
12445.0,21,1,133.4,3
12446.0,57,1,1002.3100000000001,3
12447.0,242,1,476.49,1
12448.0,43,1,449.4500000000001,3
12449.0,21,4,4067.2900000000004,3
12450.0,155,2,197.88,1
12451.0,10,6,8933.52,3
12452.0,16,3,428.57,3
12453.0,133,1,707.0899999999999,3
12454.0,52,2,-5.684341886080802e-14,3
12455.0,72,6,2466.8599999999997,3
12456.0,43,4,3153.89,3
12457.0,57,12,1917.78,3
12458.0,70,2,947.4,3
12461.0,93,2,826.88,3
12462.0,1,4,1124.0099999999998,3
12463.0,45,7,1303.63,3
12464.0,9,8,1212.05,3
12465.0,7,3,733.89,3
12468.0,142,3,724.04,3
12471.0,1,49,18740.92,0
12472.0,30,13,6229.48,3
12473.0,28,9,2848.2299999999996,3
12474.0,16,30,7116.469999999999,0
12475.0,53,1,723.3799999999999,3
12476.0,0,20,6546.58,0
12477.0,22,9,13117.01,3
12478.0,3,1,680.9900000000001,3
12479.0,3,3,477.29999999999995,3
12480.0,27,4,3281.6299999999997,3
12481.0,22,11,5590.860000000001,3
12483.0,16,13,2327.13,3
12484.0,32,8,4495.27,3
12488.0,9,3,1298.6600000000003,3
12489.0,335,1,334.92999999999995,1
12490.0,4,10,5417.93,3
12491.0,38,1,460.40000000000003,3
12492.0,62,2,263.21,3
12493.0,165,3,416.79,1
12494.0,9,13,1139.35,3
12497.0,81,1,1043.1,3
12498.0,20,3,403.7,3
12500.0,22,13,4206.27,3
12501.0,314,2,2089.68,1
12502.0,95,5,3723.87,3
12503.0,337,1,-1126.0,1
12504.0,17,4,114.00000000000003,3
12505.0,300,1,-4.5,1
12506.0,232,1,73.50000000000001,1
12507.0,133,4,1258.06,3
12508.0,25,2,398.27,3
12509.0,283,1,176.5,1
12510.0,142,2,982.5699999999999,3
12512.0,65,2,138.03,3
12513.0,84,2,586.7900000000001,3
